City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,tralee,52.2704,-9.7026,11.54,88,100,2.57,IE,1722657953
321,mahikeng,-25.8652,25.6442,10.6,54,0,3.17,ZA,1722658008
322,margate,51.3813,1.3862,17.15,86,62,5.5,GB,1722657704
323,buka,40.8108,69.1986,31.08,21,0,2.35,UZ,1722658008
324,atafu village,-8.5421,-172.5159,28.39,74,1,7.19,TK,1722658008
325,keflavik,64.0049,-22.5624,10.24,81,0,4.63,IS,1722658008
326,peringat,6.0333,102.2833,32.24,57,100,0.62,MY,1722658009
327,vilyuysk,63.7553,121.6247,20.07,38,73,1.84,RU,1722658009
328,siemiatycze,52.4272,22.8623,16.59,70,100,1.49,PL,1722658009
329,weno,7.4515,151.8468,28.97,84,100,4.63,FM,1722658009
330,cockburn town,21.4612,-71.1419,28.21,85,72,9.78,TC,1722658009
331,nova sintra,14.8667,-24.7167,25.17,77,100,5.22,CV,1722658009
332,kansk,56.2017,95.7175,21.5,67,31,2.0,RU,1722658010
333,queenstown,-31.8976,26.8753,7.16,46,0,2.91,ZA,1722658010
334,grenade,37.25,-3.25,18.59,32,0,2.5,ES,1722657782
335,bredasdorp,-34.5322,20.0403,5.83,93,0,1.6,ZA,1722658011
336,nuuk,64.1835,-51.7216,2.34,100,100,2.06,GL,1722657905
337,shchigry,51.8755,36.9043,14.9,74,79,2.61,RU,1722658011
338,ballina,-28.8667,153.5667,19.32,64,2,5.35,AU,1722658011
339,vernon,50.2581,-119.2691,29.05,39,83,0.46,CA,1722658011
340,essaouira,31.5125,-9.77,22.12,71,1,11.62,MA,1722658011
341,christchurch,-43.5333,172.6333,10.74,52,1,2.24,NZ,1722657817
342,talnakh,69.4865,88.3972,19.82,59,8,1.34,RU,1722658011
343,vrangel',42.7297,133.0839,19.49,89,100,4.57,RU,1722658012
344,diego de almagro,-26.3667,-70.05,9.28,91,0,1.35,CL,1722658012
345,kalmunai,7.4167,81.8167,30.44,62,100,2.19,LK,1722658012
346,huarmey,-10.0681,-78.1522,17.05,85,0,4.09,PE,1722657969
347,kapa'a,22.0752,-159.319,27.18,73,0,3.6,US,1722658012
348,borgarnes,64.5383,-21.9206,11.0,80,0,3.27,IS,1722658012
349,paro,27.4305,89.4133,18.19,91,100,1.22,BT,1722658012
